"","LoC_classifications","title","downloads","author_birthdate","author_deathdate","author_name","pub_day","pub_date_full","pub_month","pub_month_name","pub_year","difficulty.ari","difficulty.coleman","difficulty.dale","difficulty.vocabulary","difficulty.flesch.grade","difficulty.flesch.ease","difficulty.gunning","difficulty.linsear","difficulty.smog","polarity","subjectivity","avg_letter_per_word","avg_sentence_length","sentences_over_words","characters","polysyllables","sentences","syllables","words"
"1","PR","Pride and Prejudice",36576,1775,1817,"Austen, Jane",1,"June, 1998",6,"June",1998,10.7,10.73,5.7,9032,7.9,70.13,9.2,13.5,3.1,0.136713377605004,0.522239149470469,4.83,18,0.05,586794,4603,6511,170648.1,121533
"2","PS","The Yellow Wallpaper",26363,1860,1935,"Gilman, Charlotte Perkins",1,"November, 1999",11,"November",1999,7.2,8,6.24,714,5.6,81.63,8,5.5,3.1,0.0541742933650127,0.534787426408208,4.41,15,0.06,26769,102,385,7686.9,6067
"3","PZ,PR","Alice's Adventures in Wonderland",18882,1832,1898,"Carroll, Lewis",1,"March, 1994",3,"March",1994,9.3,9.39,5.93,2425,6.4,79.6,8.8,14,3.1,0.041078608749446,0.497276367112719,4.65,17,0.06,122719,339,1501,33810.3,26389
"4","PR","Frankenstein; Or, The Modern Prometheus",17128,1797,1851,"Shelley, Mary Wollstonecraft",17,"June 17, 2008",6,"June",2008,12.6,10.68,6.44,7884,9.9,65.05,11.2,7,3.1,0.100901536274653,0.539516148755176,4.77,23,0.04,357604,2604,3239,106802.1,74959
"5","PT","Metamorphosis",15683,1883,1924,"Kafka, Franz",16,"August 16, 2005",8,"August",2005,13.8,9.46,6.37,1947,10.3,69.45,12.8,10.5,3.1,0.0419969356709264,0.479019215469139,4.56,27,0.04,100372,397,800,28752.3,22022
"6","PS","Adventures of Huckleberry Finn",15347,1835,1910,"Twain, Mark",20,"August 20, 2006",8,"August",2006,8.7,8.01,5.59,7087,6,86.03,9.6,2.5,3.1,0.0893192586201818,0.474518795163008,4.36,19,0.05,485099,1180,5792,132642.9,111219
"7","PR","The Importance of Being Earnest: A Trivial Comedy for Serious People",13638,1854,1900,"Wilde, Oscar",29,"August 29, 2006",8,"August",2006,7,9.89,5.96,2387,4.8,78.25,6,3,3.1,0.100269685142806,0.534784343060185,4.94,10,0.1,101906,555,1994,29187,20625
"8","PZ,PS","The Adventures of Tom Sawyer",13237,1835,1910,"Twain, Mark",20,"August 20, 2006",8,"August",2006,8.8,10.15,6.16,7974,5.6,81.63,8,4.5,3.1,0.0647610782956226,0.487048443781586,4.78,15,0.06,338075,1488,4594,92593.8,70796
"9","E300","Narrative of the Life of Frederick Douglass, an American Slave",12794,1818,1895,"Douglass, Frederick",10,"January 10, 2006",1,"January",2006,10.5,9.86,6.48,4894,8.3,69.11,9.6,7,3.1,0.0938781358404583,0.507429646087501,4.68,19,0.05,190493,1226,2062,55913.4,40740
"10","PT","A Doll's House : a play",11625,1828,1906,"Ibsen, Henrik",1,"March, 2001",3,"March",2001,5.3,7.98,5.53,2342,3.7,86.71,6,4,3.1,0.0262617279411884,0.580521507992437,4.61,10,0.1,121943,378,2624,33722.1,26466
"11","PS","Moby Dick; Or, The Whale",11270,1819,1891,"Melville, Herman",1,"June, 2001",6,"June",2001,13.4,11.55,6.5,23167,9.9,65.05,11.2,11,3.1,0.082286453463764,0.478049261337892,4.92,23,0.04,1043045,6639,9104,294744.6,212099
"12","PR","The Adventures of Sherlock Holmes",11125,1859,1930,"Doyle, Arthur Conan",14,"October 14, 1892",10,"October",1892,8.2,9.1,5.81,9148,6,80.62,8.4,2.5,3.1,0.0625914379743936,0.486681847387158,4.6,16,0.06,480294,1978,6522,137215.8,104488
"13","PR","Great Expectations",11068,1812,1870,"Dickens, Charles",1,"July, 1998",7,"July",1998,9.9,9.34,5.8,14224,7.2,77.57,9.6,7.5,3.1,0.0779836848583093,0.49062423531283,4.59,19,0.05,845501,4088,9487,240762.6,184398
"14","PR","Ulysses",10568,1882,1941,"Joyce, James",1,"July, 2003",7,"July",2003,8.6,10.84,6.35,34649,6,75.2,7.2,6,3.1,0.0712303578872472,0.46306693286287,4.95,13,0.07,1311231,7005,19726,363292.2,264835
"15","PR","A Tale of Two Cities",10312,1812,1870,"Dickens, Charles",1,"January, 1994",1,"January",1994,10.3,10.44,6,12613,6.8,78.59,9.2,56,3.1,0.078066102045658,0.490453205571702,4.78,18,0.05,649070,3256,7396,183016.8,135820
"16","PR","A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",10014,1667,1745,"Swift, Jonathan",1,"October 1997",10,"October",1997,26.6,11.91,9.24,674,20.4,37.65,22,18,8.8,0.175691458503959,0.506458345520845,4.88,50,0.02,16656,86,68,4864.5,3410
"17","PR","Dracula",9852,1847,1912,"Stoker, Bram",16,"August 16, 2013",8,"August",2013,8.8,8.3,5.65,11445,6.8,78.59,9.2,18,3.1,0.075270589540311,0.503039209763264,4.41,18,0.05,708335,2338,8522,202932.9,160693
"18","JC","The Prince",9690,1469,1527,"Machiavelli, Niccolo",11,"February 11, 2006",2,"February",2006,20.6,11.33,7.23,5367,15.8,49.83,17.2,6.5,8.8,0.146546817780413,0.520413361246458,4.83,38,0.03,239378,1905,1287,71705.7,49525
"19","PR","The Picture of Dorian Gray",9681,1854,1900,"Wilde, Oscar",9,"June 9, 2008",6,"June",2008,6.7,8.69,5.74,7523,4.4,84.68,6.8,4.5,3.1,0.0699138196498992,0.545897334130377,4.63,12,0.08,365606,1647,6234,105003.9,78920
"20","PG","War and Peace",9580,1828,1910,"Tolstoy, Leo, graf",1,"January 1, 1870",1,"January",1870,10.8,11.14,5.36,29647,7.9,70.13,9.2,53,3.1,0.0820664171173397,0.474015115582443,4.9,18,0.05,2759940,16369,30757,787942.8,563029
"21","PT","Grimms' Fairy Tales",9016,1786,1859,"Grimm, Wilhelm",1,"April, 2001",4,"April",2001,10.5,8.01,1.91,4955,7.5,81.97,11.2,13,3.1,0.106611174647935,0.484139715862806,4.31,23,0.04,435880,394,4355,121229.1,101107
"22","HQ","The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",8559,0,0,"Vatsyayana",18,"January 18, 2009",1,"January",2009,13.5,10.91,6.36,5708,10.3,64.04,11.6,6,3.1,0.131070129536114,0.464220650999431,4.81,24,0.04,283286,1464,2397,81087.3,58912
"23","PR","Emma",8513,1775,1817,"Austen, Jane",1,"August, 1994",8,"August",1994,9.6,10.26,5.68,12447,7.2,72.16,8.4,18,3.1,0.157109182497322,0.542307345002758,4.8,16,0.06,755056,4851,9348,216434.7,157439
